Id,text
0,"The Project Gutenberg eBook of Alice’s Adventures in Wonderland, by Lewis CarrollThis eBook is for the use of anyone anywhere in the United States andmost other parts of the world at no cost and with almost no restrictionswhatsoever"
1," You may copy it, give it away or re-use it under the termsof the Project Gutenberg License included with this eBook or online atwww"
2,gutenberg
3,org
4," If you are not located in the United States, youwill have to check the laws of the country where you are located beforeusing this eBook"
5,"Title: Alice’s Adventures in WonderlandAuthor: Lewis CarrollRelease Date: January, 1991 [eBook #11][Most recently updated: October 12, 2020]Language: EnglishCharacter set encoding: UTF-8Produced by: Arthur DiBianca and David Widger*** START OF THE PROJECT GUTENBERG EBOOK ALICE’S ADVENTURES IN WONDERLAND ***[Illustration]Alice’s Adventures in Wonderlandby Lewis CarrollTHE MILLENNIUM FULCRUM EDITION 3"
6,0Contents CHAPTER I
7,     Down the Rabbit-Hole CHAPTER II
8,    The Pool of Tears CHAPTER III
9,   A Caucus-Race and a Long Tale CHAPTER IV
10,    The Rabbit Sends in a Little Bill CHAPTER V
11,     Advice from a Caterpillar CHAPTER VI
12,    Pig and Pepper CHAPTER VII
13,   A Mad Tea-Party CHAPTER VIII
14,  The Queen’s Croquet-Ground CHAPTER IX
15,    The Mock Turtle’s Story CHAPTER X
16,     The Lobster Quadrille CHAPTER XI
17,    Who Stole the Tarts? CHAPTER XII
18,   Alice’s EvidenceCHAPTER I
19,"Down the Rabbit-HoleAlice was beginning to get very tired of sitting by her sister on thebank, and of having nothing to do: once or twice she had peeped intothe book her sister was reading, but it had no pictures orconversations in it, “and what is the use of a book,” thought Alice“without pictures or conversations?”So she was considering in her own mind (as well as she could, for thehot day made her feel very sleepy and stupid), whether the pleasure ofmaking a daisy-chain would be worth the trouble of getting up andpicking the daisies, when suddenly a White Rabbit with pink eyes ranclose by her"
20,"There was nothing so _very_ remarkable in that; nor did Alice think itso _very_ much out of the way to hear the Rabbit say to itself, “Ohdear! Oh dear! I shall be late!” (when she thought it over afterwards,it occurred to her that she ought to have wondered at this, but at thetime it all seemed quite natural); but when the Rabbit actually _took awatch out of its waistcoat-pocket_, and looked at it, and then hurriedon, Alice started to her feet, for it flashed across her mind that shehad never before seen a rabbit with either a waistcoat-pocket, or awatch to take out of it, and burning with curiosity, she ran across thefield after it, and fortunately was just in time to see it pop down alarge rabbit-hole under the hedge"
21,"In another moment down went Alice after it, never once considering howin the world she was to get out again"
22,"The rabbit-hole went straight on like a tunnel for some way, and thendipped suddenly down, so suddenly that Alice had not a moment to thinkabout stopping herself before she found herself falling down a verydeep well"
23,"Either the well was very deep, or she fell very slowly, for she hadplenty of time as she went down to look about her and to wonder whatwas going to happen next"
24," First, she tried to look down and make outwhat she was coming to, but it was too dark to see anything; then shelooked at the sides of the well, and noticed that they were filled withcupboards and book-shelves; here and there she saw maps and pictureshung upon pegs"
25," She took down a jar from one of the shelves as shepassed; it was labelled “ORANGE MARMALADE”, but to her greatdisappointment it was empty: she did not like to drop the jar for fearof killing somebody underneath, so managed to put it into one of thecupboards as she fell past it"
26,"“Well!” thought Alice to herself, “after such a fall as this, I shallthink nothing of tumbling down stairs! How brave they’ll all think meat home! Why, I wouldn’t say anything about it, even if I fell off thetop of the house!” (Which was very likely true"
27,")Down, down, down"
28, Would the fall _never_ come to an end? “I wonder howmany miles I’ve fallen by this time?” she said aloud
29, “I must begetting somewhere near the centre of the earth
30," Let me see: that wouldbe four thousand miles down, I think—” (for, you see, Alice had learntseveral things of this sort in her lessons in the schoolroom, andthough this was not a _very_ good opportunity for showing off herknowledge, as there was no one to listen to her, still it was goodpractice to say it over) “—yes, that’s about the right distance—butthen I wonder what Latitude or Longitude I’ve got to?” (Alice had noidea what Latitude was, or Longitude either, but thought they were nicegrand words to say"
31,)Presently she began again
32," “I wonder if I shall fall right _through_the earth! How funny it’ll seem to come out among the people that walkwith their heads downward! The Antipathies, I think—” (she was ratherglad there _was_ no one listening, this time, as it didn’t sound at allthe right word) “—but I shall have to ask them what the name of thecountry is, you know"
33," Please, Ma’am, is this New Zealand or Australia?”(and she tried to curtsey as she spoke—fancy _curtseying_ as you’refalling through the air! Do you think you could manage it?) “And whatan ignorant little girl she’ll think me for asking! No, it’ll never doto ask: perhaps I shall see it written up somewhere"
34,"”Down, down, down"
35," There was nothing else to do, so Alice soon begantalking again"
36," “Dinah’ll miss me very much to-night, I should think!”(Dinah was the cat"
37,) “I hope they’ll remember her saucer of milk attea-time
38," Dinah my dear! I wish you were down here with me! There areno mice in the air, I’m afraid, but you might catch a bat, and that’svery like a mouse, you know"
